id,product_name,price,url,discount,resulation
14.01.018.356,  Gigabyte GeForce RTX 3080 Ti VISION OC 12G 12GB GDDR6X Graphics Card #GV-N308TVISION OC-12GD,"Tk 142,500 ",https://www.ryanscomputers.com/gigabyte-geforce-rtx-3080-ti-vision-oc-12g-12gb-gddr6x-graphics-card,Ecom Discount Tk 500,Multi Display Capability - Quad Display
14.01.018.355,  Gigabyte GeForce RTX 3080 GAMING OC 12G 12GB GDDR6X Graphics Card #GV-N3080GAMING OC-12GD,"Tk 137,000 ",https://www.ryanscomputers.com/gigabyte-geforce-rtx-3080-gaming-oc-12g-12gb-gddr6x-graphics-card,"Ecom Discount Tk 1,000",Multi Display Capability - Quad Display
14.02.033.179,  MSI Radeon RX 6900 XT GAMING Z TRIO 16G 16GB GDDR6 Graphics Card (Bundle with PC),"Tk 133,900 ",https://www.ryanscomputers.com/msi-radeon-rx-6900-xt-gaming-z-trio-16g-16gb-gddr6-graphics-card,no ecommerce discount,Multi Display Capability - Quad Display
14.01.706.113,  Zotac Gaming GeForce RTX 3080 Trinity OC LHR 12GB GDDR6X Graphics Card #ZT-A30820J-10PLHR,"Tk 123,000 ",https://www.ryanscomputers.com/zotac-gaming-geforce-rtx-3080-trinity-oc-lhr-12gb-gddr6x-graphics-card,no ecommerce discount,Multi Display Capability - Quad Display
14.01.033.214,  MSI GeForce RTX 3060 VENTUS 3X 12G OC 12GB GDDR6 Graphics Card #G3060V3X12C,"Tk 57,500 ",https://www.ryanscomputers.com/msi-geforce-rtx-3060-ventus-3x-12g-oc-12gb-gddr6-graphics-card,no ecommerce discount,Graphics Resolution Max. - 7680 x 4320
14.01.018.300,  Gigabyte GeForce RTX 3060 Ti EAGLE OC 8G 8GB GDDR6 Graphics Card #GV-N306TEAGLE OC-8GD,"Tk 57,000 ",https://www.ryanscomputers.com/gigabyte-geforce-rtx-3060-ti-eagle-oc-8g-8gb-gddr6-graphics-card,no ecommerce discount,Multi Display Capability - Quad Display
14.01.018.299,  Gigabyte GeForce RTX 3060 Ti EAGLE 8G 8GB GDDR6 Graphics Card #GV-N306TEAGLE-8GD (Bundle With PC),"Tk 57,000 ",https://www.ryanscomputers.com/gigabyte-geforce-rtx-3060-ti-eagle-8g-8gb-gddr6-graphics-card,no ecommerce discount,Multi Display Capability - Quad Display
14.02.006.276,  Asus Dual Radeon RX 6600 XT OC Edition 8GB GDDR6 Graphics Card #DUAL-RX6600XT-O8G,"Tk 56,000 ",https://www.ryanscomputers.com/asus-dual-radeon-rx-6600-xt-oc-edition-8gb-gddr6-graphics-card,Ecom Discount Tk 500,Multi Display Capability - Quad Display
14.02.040.179,  Sapphire Pulse AMD Radeon RX 6650 XT 8GB GDDR6 Graphics Card #11319-03-20G,"Tk 54,900 ",https://www.ryanscomputers.com/sapphire-pulse-amd-radeon-rx-6650-xt-8gb-gddr6-graphics-card,no ecommerce discount,Graphics Resolution Max. - 7680 x 4320
14.01.006.275,  Asus Dual GeForce RTX 2060 OC Edition EVO 6GB GDDR6 Graphics Card #DUAL-RTX2060-O6G-EVO,"Tk 49,500 ",https://www.ryanscomputers.com/asus-dual-geforce-rtx-2060-oc-edition-evo-6gb-gddr6-graphics-card,Ecom Discount Tk 200,Multi Display Capability - Quad Display
