title,The Mistake (Off-Campus #2)
rating,Three
price,Tk-43.29
stock,True
link,https://books.toscrape.com/catalogue/the-mistake-off-campus-2_851/index.html
article,"Hes a player in more ways than oneCollege junior John Logan can get any girl he wants. For this hockey star, life is a parade of parties and hook-ups, but behind his killer grins and easygoing charm, he hides growing despair about the dead-end road hell be forced to walk after graduation. A sexy encounter with freshman Grace Ivers is just the distraction he needs, but w Hes a player in more ways than oneCollege junior John Logan can get any girl he wants. For this hockey star, life is a parade of parties and hook-ups, but behind his killer grins and easygoing charm, he hides growing despair about the dead-end road hell be forced to walk after graduation. A sexy encounter with freshman Grace Ivers is just the distraction he needs, but when a thoughtless mistake pushes her away, Loganplans to spend his final year proving to her that hes worth a second chance.Now hes going to need to up his gameAfter a less than stellar freshman year, Grace is back at Briar University, older, wiser, andsoover the arrogant hockey player she nearly handed her V-card to. Shes not a charity case, and shes not the quiet butterfly she was when they first hooked up. If Logan expects her to roll over and beg like all his other puck bunnies, he can think again. He wants her back? Hell have to work for it. This time around, shell be the one in the drivers seatand she plans on driving him wild. ...more"
